Station,Date(NZST),Amount(Hrs),Period(Hrs),Freq
"Auckland, North Shore Albany Ews",18/05/2014 23,5.4,24,D
"Auckland, North Shore Albany Ews",19/05/2014 23,7.1,24,D
"Auckland, North Shore Albany Ews",20/05/2014 23,7.4,24,D
"Auckland, North Shore Albany Ews",21/05/2014 23,4.5,24,D
"Auckland, North Shore Albany Ews",22/05/2014 23,5.4,24,D
"Auckland, North Shore Albany Ews",23/05/2014 23,3.1,24,D
"Auckland, North Shore Albany Ews",24/05/2014 23,2.6,24,D
"Auckland, North Shore Albany Ews",25/05/2014 23,3.1,24,D
"Auckland, North Shore Albany Ews",26/05/2014 23,4.9,24,D
"Auckland, North Shore Albany Ews",27/05/2014 23,8.2,24,D
"Auckland, North Shore Albany Ews",28/05/2014 23,8.2,24,D
"Auckland, North Shore Albany Ews",29/05/2014 23,2.5,24,D
"Auckland, North Shore Albany Ews",30/05/2014 23,3.2,24,D
"Auckland, North Shore Albany Ews",31/05/2014 23,8.2,24,D
"Auckland, North Shore Albany Ews",01/06/2014 23,7.2,24,D
"Auckland, North Shore Albany Ews",02/06/2014 23,1.4,24,D
"Auckland, North Shore Albany Ews",03/06/2014 23,6.4,24,D
"Auckland, North Shore Albany Ews",04/06/2014 23,6,24,D
"Auckland, North Shore Albany Ews",05/06/2014 23,7.7,24,D
"Auckland, North Shore Albany Ews",06/06/2014 23,4,24,D
"Auckland, North Shore Albany Ews",07/06/2014 23,4.4,24,D
"Auckland, North Shore Albany Ews",08/06/2014 23,3.4,24,D
"Auckland, North Shore Albany Ews",09/06/2014 23,0,24,D
"Auckland, North Shore Albany Ews",10/06/2014 23,0,24,D
"Auckland, North Shore Albany Ews",11/06/2014 23,4.6,24,D
"Auckland, North Shore Albany Ews",12/06/2014 23,4.9,24,D
"Auckland, North Shore Albany Ews",13/06/2014 23,8.2,24,D
"Auckland, North Shore Albany Ews",14/06/2014 23,8.2,24,D
"Auckland, North Shore Albany Ews",15/06/2014 23,6,24,D
"Auckland, North Shore Albany Ews",16/06/2014 23,0.3,24,D
"Auckland, North Shore Albany Ews",17/06/2014 23,2.9,24,D
"Auckland, North Shore Albany Ews",18/06/2014 23,5.2,24,D
"Auckland, North Shore Albany Ews",19/06/2014 23,4.2,24,D
"Auckland, North Shore Albany Ews",20/06/2014 23,4.6,24,D
"Auckland, North Shore Albany Ews",21/06/2014 23,5.5,24,D
"Auckland, North Shore Albany Ews",22/06/2014 23,3.2,24,D
